DATE,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022-04-01,78707,78253,1947,96483
2022-04-02,71047,71030,1822,93458
2022-04-03,70792,70237,1934,87481
2022-04-04,83625,83036,2086,95166
2022-04-05,75921,76305,1916,95169
2022-04-06,71355,71741,1845,92501
2022-04-07,71216,71375,1897,89927
2022-04-08,70149,70150,1859,90192
2022-04-09,62129,62377,1782,83422
2022-04-10,59242,59359,1769,80305
2022-04-11,67440,67502,1854,87299
2022-04-12,69534,69353,1873,89152
2022-04-13,70144,69894,1807,92935
2022-04-14,71808,71760,1882,91546
2022-04-15,74845,74655,1926,92712
2022-04-16,65251,65438,1833,85401
2022-04-17,61651,61643,1842,80254
2022-04-18,71163,70858,1920,88159
2022-04-19,70617,70771,1857,91001
2022-04-20,72934,72596,1945,89655
2022-04-21,70201,70256,1860,90317
2022-04-22,69729,69728,1847,90523
2022-04-23,62684,62423,1755,85678
2022-04-24,58853,59053,1793,78880
2022-04-25,68383,68283,1881,87411
2022-04-26,70515,70249,1926,87408
2022-04-27,71550,71657,1986,86316
2022-04-28,65489,65875,1900,82536
2022-04-29,62991,62451,2053,73564
2022-04-30,59377,59480,1795,79421
2022-05-01,58320,58219,1925,72546
2022-05-02,61009,61010,1967,74424
2022-05-03,56473,56358,1846,73403
2022-05-04,55532,55406,1797,74215
2022-05-05,56230,56071,1777,75996
2022-05-06,60750,61085,1873,77690
2022-05-07,59303,59304,1820,78345
2022-05-08,56864,56840,1655,82112
2022-05-09,67178,66826,1957,81925
2022-05-10,67736,67829,1674,96614
2022-05-11,67399,67246,1730,92953
2022-05-12,69466,69315,1786,92414
2022-05-13,70411,70156,1842,90843
2022-05-14,64908,64555,1708,90601
2022-05-15,59118,58909,1601,87874
2022-05-16,69560,69234,1824,90457
2022-05-17,70280,70071,1819,91661
2022-05-18,70024,69975,1711,97264
2022-05-19,70516,70487,1766,94968
2022-05-20,70661,70465,1757,95393
2022-05-21,62631,62438,1686,88491
2022-05-22,60183,60055,1566,91663
2022-05-23,68892,68809,1673,97410
2022-05-24,71769,71588,1712,99640
2022-05-25,72489,72435,1742,98776
2022-05-26,72196,72049,1766,96842
2022-05-27,72949,72694,1749,98976
2022-05-28,65368,65236,1624,95854
2022-05-29,64070,63865,1588,96003
2022-05-30,72904,72878,1678,102660
2022-05-31,70686,70599,1679,99942
2022-06-01,71384,71392,1683,100664
2022-06-02,73990,73786,1736,100858
2022-06-03,72962,72945,1709,101195
2022-06-04,63550,63478,1655,91279
2022-06-05,61332,61230,1620,89947
2022-06-06,69698,69293,1750,94342
2022-06-07,70333,70125,1727,96845
2022-06-08,69974,69725,1742,95391
2022-06-09,70649,70507,1699,98732
2022-06-10,71278,71161,1707,99032
2022-06-11,63994,63844,1655,92014
2022-06-12,61711,61588,1559,94262
2022-06-13,69646,69621,1612,102374
2022-06-14,69462,69225,1690,97438
2022-06-15,69513,69389,1704,96758
2022-06-16,69930,70001,1661,100032
2022-06-17,72722,72683,1718,100460
2022-06-18,65721,66118,1617,96774
2022-06-19,66571,66486,1634,97132
2022-06-20,79357,79287,1774,105580
2022-06-21,80773,80733,1804,106092
2022-06-22,79149,79163,1771,106134
2022-06-23,77740,77827,1754,105119
2022-06-24,85357,84889,1823,110598
2022-06-25,84516,83804,1851,108450
2022-06-26,79633,79217,2001,95063
2022-06-27,94451,94158,2051,108494
2022-06-28,96913,96481,2088,109758
2022-06-29,98466,98549,2072,112269
2022-06-30,101558,101240,2091,114617
2022-07-01,102353,102200,2084,116185
2022-07-02,91587,90986,2076,104960
2022-07-03,82022,81522,1979,99070
2022-07-04,86914,87622,1990,103964
2022-07-05,88078,88328,1989,105403
2022-07-06,87460,87585,1964,106332
2022-07-07,86265,86404,1958,105007
