DATE,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022-04-30,2069342,2067788,56392,2634272
2022-05-31,2035875,2032007,54298,2777955
2022-06-30,2262333,2257945,52958,3027703
2022-07-31,2710459,2707054,60560,3307329
2022-08-31,2674658,2686596,59767,3306041
2022-09-30,2316185,2317665,56549,2936443
2022-10-31,2104690,2103532,58003,2688275
2022-11-30,2089663,2088994,56063,2674244
2022-12-31,2538581,2537669,58924,3192518
2023-01-31,2670903,2665199,58735,3370340
2023-02-28,2349255,2357289,53204,2957932
2023-03-31,2142954,2146931,56934,2797573
2023-04-30,1933464,1930082,57389,2420014
2023-05-31,1947375,1945372,60494,2387881
2023-06-30,2124024,2120192,59042,2577380
