DATE,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022-04-03,220546,219520,5703,277422
2022-04-10,493637,494343,13154,626682
2022-04-17,480673,480245,13017,619299
2022-04-24,476181,475685,12977,614213
2022-05-01,456625,456214,13466,569202
2022-05-08,406161,406074,12735,536185
2022-05-15,466216,464836,12298,633224
2022-05-22,473855,472725,12129,649897
2022-05-29,487733,486676,11854,683501
2022-06-05,486808,486308,11760,686545
2022-06-12,477637,476243,11839,670618
2022-06-19,483565,483523,11636,690968
2022-06-26,566525,564920,12778,737036
2022-07-03,667350,665136,14441,765353
2022-07-10,586988,588138,13608,719934
2022-07-17,568817,568601,13356,712901
2022-07-24,615588,615731,13552,760757
2022-07-31,663104,659876,13905,793522
2022-08-07,641529,643609,13622,781407
2022-08-14,624830,631139,13524,769303
2022-08-21,573936,579587,13255,727485
2022-08-28,597179,594722,13778,723770
2022-09-04,548853,550147,13072,702088
2022-09-11,566040,565681,13217,714198
2022-09-18,561228,560534,13356,703966
2022-09-25,502267,504079,12983,647857
2022-10-02,505453,505407,13166,643024
2022-10-09,490624,490370,13263,618788
2022-10-16,464665,465254,13161,591395
2022-10-23,467507,467177,12881,607783
2022-10-30,482346,481052,13184,611004
2022-11-06,468947,469154,13275,590249
2022-11-13,478974,477891,13226,605392
2022-11-20,495104,494975,13156,629124
2022-11-27,494991,495374,12776,649260
2022-12-04,521119,520854,12884,677741
2022-12-11,566611,564855,13366,708228
2022-12-18,583476,582327,13367,730500
2022-12-25,617645,616215,13573,761057
2023-01-01,535438,539060,12919,695605
2023-01-08,545043,546490,12969,705214
2023-01-15,587860,583865,13221,745642
2023-01-22,611571,609830,13213,776661
2023-01-29,670966,669204,13669,820669
2023-02-05,625285,627868,13449,778951
2023-02-12,589709,590365,13111,752191
2023-02-19,598449,599553,13546,739651
2023-02-26,567065,569458,13366,710906
2023-03-05,524777,528648,12944,680167
2023-03-12,480371,481751,12607,638487
2023-03-19,486731,487148,13120,623904
2023-03-26,464164,464102,12624,617924
2023-04-02,464027,464276,12972,599362
2023-04-09,458579,457342,13433,572437
2023-04-16,456974,455699,13337,574697
2023-04-23,454536,453039,13446,566129
2023-04-30,445484,445856,13537,551164
2023-05-07,391618,390982,13149,500011
2023-05-14,441383,441155,13612,543896
2023-05-21,461145,460361,13902,555710
2023-05-28,451978,451647,13897,544598
2023-06-04,458889,458292,13751,559501
2023-06-11,471387,471646,13690,577078
2023-06-18,497441,495976,14002,593343
2023-06-25,487648,486202,13643,598533
2023-07-02,409910,409303,9890,492591
