DATE,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022-04-01 00:00:00,78707,78253,1947,96483
2022-04-01 06:00:00,0,0,0,0
2022-04-01 12:00:00,0,0,0,0
2022-04-01 18:00:00,0,0,0,0
2022-04-02 00:00:00,71047,71030,1822,93458
2022-04-02 06:00:00,0,0,0,0
2022-04-02 12:00:00,0,0,0,0
2022-04-02 18:00:00,0,0,0,0
2022-04-03 00:00:00,70792,70237,1934,87481
2022-04-03 06:00:00,0,0,0,0
2022-04-03 12:00:00,0,0,0,0
2022-04-03 18:00:00,0,0,0,0
2022-04-04 00:00:00,83625,83036,2086,95166
2022-04-04 06:00:00,0,0,0,0
2022-04-04 12:00:00,0,0,0,0
2022-04-04 18:00:00,0,0,0,0
2022-04-05 00:00:00,75921,76305,1916,95169
2022-04-05 06:00:00,0,0,0,0
2022-04-05 12:00:00,0,0,0,0
2022-04-05 18:00:00,0,0,0,0
2022-04-06 00:00:00,71355,71741,1845,92501
2022-04-06 06:00:00,0,0,0,0
2022-04-06 12:00:00,0,0,0,0
2022-04-06 18:00:00,0,0,0,0
2022-04-07 00:00:00,71216,71375,1897,89927
2022-04-07 06:00:00,0,0,0,0
2022-04-07 12:00:00,0,0,0,0
2022-04-07 18:00:00,0,0,0,0
2022-04-08 00:00:00,70149,70150,1859,90192
2022-04-08 06:00:00,0,0,0,0
2022-04-08 12:00:00,0,0,0,0
2022-04-08 18:00:00,0,0,0,0
2022-04-09 00:00:00,62129,62377,1782,83422
2022-04-09 06:00:00,0,0,0,0
2022-04-09 12:00:00,0,0,0,0
2022-04-09 18:00:00,0,0,0,0
2022-04-10 00:00:00,59242,59359,1769,80305
2022-04-10 06:00:00,0,0,0,0
2022-04-10 12:00:00,0,0,0,0
2022-04-10 18:00:00,0,0,0,0
2022-04-11 00:00:00,67440,67502,1854,87299
2022-04-11 06:00:00,0,0,0,0
2022-04-11 12:00:00,0,0,0,0
2022-04-11 18:00:00,0,0,0,0
2022-04-12 00:00:00,69534,69353,1873,89152
2022-04-12 06:00:00,0,0,0,0
2022-04-12 12:00:00,0,0,0,0
2022-04-12 18:00:00,0,0,0,0
2022-04-13 00:00:00,70144,69894,1807,92935
2022-04-13 06:00:00,0,0,0,0
2022-04-13 12:00:00,0,0,0,0
2022-04-13 18:00:00,0,0,0,0
2022-04-14 00:00:00,71808,71760,1882,91546
2022-04-14 06:00:00,0,0,0,0
2022-04-14 12:00:00,0,0,0,0
2022-04-14 18:00:00,0,0,0,0
2022-04-15 00:00:00,74845,74655,1926,92712
2022-04-15 06:00:00,0,0,0,0
2022-04-15 12:00:00,0,0,0,0
2022-04-15 18:00:00,0,0,0,0
2022-04-16 00:00:00,65251,65438,1833,85401
2022-04-16 06:00:00,0,0,0,0
