,DATE,TIME,ìñì˙é¿ê—(ñúkW),ó\ë™íl(ñúkW),égópó¶(%),ãüããóÕ(ñúkW)
0,2022/4/1,0:00,2529,2488,81,3114
1,2022/4/1,1:00,2443,2435,79,3088
2,2022/4/1,2:00,2455,2435,79,3088
3,2022/4/1,3:00,2507,2467,80,3121
4,2022/4/1,4:00,2569,2528,82,3124
5,2022/4/1,5:00,2717,2666,83,3268
6,2022/4/1,6:00,2993,2931,82,3616
7,2022/4/1,7:00,3285,3259,84,3872
8,2022/4/1,8:00,3644,3701,85,4253
9,2022/4/1,9:00,3866,3887,86,4471
10,2022/4/1,10:00,3800,3854,84,4512
11,2022/4/1,11:00,3758,3823,82,4537
12,2022/4/1,12:00,3633,3569,82,4397
13,2022/4/1,13:00,3673,3609,81,4485
14,2022/4/1,14:00,3563,3551,79,4490
15,2022/4/1,15:00,3443,3550,76,4530
16,2022/4/1,16:00,3467,3500,75,4622
17,2022/4/1,17:00,3533,3505,80,4367
18,2022/4/1,18:00,3724,3639,85,4333
19,2022/4/1,19:00,3698,3591,84,4358
20,2022/4/1,20:00,3606,3549,84,4289
21,2022/4/1,21:00,3447,3396,82,4198
22,2022/4/1,22:00,3274,3252,78,4191
23,2022/4/1,23:00,3080,3068,74,4159
0,2022/4/2,0:00,2840,2841,81,3483
1,2022/4/2,1:00,2723,2724,83,3279
2,2022/4/2,2:00,2697,2678,82,3252
3,2022/4/2,3:00,2694,2669,82,3257
4,2022/4/2,4:00,2694,2682,82,3265
5,2022/4/2,5:00,2739,2760,81,3345
6,2022/4/2,6:00,2754,2866,77,3554
7,2022/4/2,7:00,2805,2850,77,3614
8,2022/4/2,8:00,2975,2971,76,3866
9,2022/4/2,9:00,3162,3089,76,4109
10,2022/4/2,10:00,3207,3130,74,4317
11,2022/4/2,11:00,3212,3184,72,4423
12,2022/4/2,12:00,3130,3145,70,4431
13,2022/4/2,13:00,3028,3022,70,4307
14,2022/4/2,14:00,2906,2972,68,4273
15,2022/4/2,15:00,2841,2920,66,4256
16,2022/4/2,16:00,2863,2894,66,4320
17,2022/4/2,17:00,3038,3101,73,4113
18,2022/4/2,18:00,3310,3227,82,3998
19,2022/4/2,19:00,3322,3248,83,4001
20,2022/4/2,20:00,3256,3239,81,3988
21,2022/4/2,21:00,3121,3088,78,3986
22,2022/4/2,22:00,2954,2946,73,4032
23,2022/4/2,23:00,2776,2784,69,3989
0,2022/4/3,0:00,2569,2578,82,3099
1,2022/4/3,1:00,2456,2477,79,3071
2,2022/4/3,2:00,2427,2455,81,2974
3,2022/4/3,3:00,2441,2446,81,2990
4,2022/4/3,4:00,2444,2441,82,2951
5,2022/4/3,5:00,2474,2493,82,3010
6,2022/4/3,6:00,2505,2564,81,3090
7,2022/4/3,7:00,2671,2657,82,3235
8,2022/4/3,8:00,2888,2846,82,3500
9,2022/4/3,9:00,3034,3014,82,3699
10,2022/4/3,10:00,3097,3097,80,3828
11,2022/4/3,11:00,3137,3069,81,3856
12,2022/4/3,12:00,3158,3041,81,3887
13,2022/4/3,13:00,3167,3025,81,3884
14,2022/4/3,14:00,3120,3009,78,3967
15,2022/4/3,15:00,3137,3102,77,4049
16,2022/4/3,16:00,3223,3224,79,4069
17,2022/4/3,17:00,3400,3436,86,3943
18,2022/4/3,18:00,3528,3482,87,4045
19,2022/4/3,19:00,3491,3401,86,4055
20,2022/4/3,20:00,3400,3378,84,4043
21,2022/4/3,21:00,3233,3207,81,3983
22,2022/4/3,22:00,3000,2988,72,4127
23,2022/4/3,23:00,2792,2807,67,4126
0,2022/4/4,0:00,2574,2587,80,3182
1,2022/4/4,1:00,2463,2484,78,3149
2,2022/4/4,2:00,2451,2469,77,3143
3,2022/4/4,3:00,2478,2482,79,3124
4,2022/4/4,4:00,2536,2526,83,3054
5,2022/4/4,5:00,2696,2686,85,3135
6,2022/4/4,6:00,3003,2985,92,3246
7,2022/4/4,7:00,3374,3322,94,3554
8,2022/4/4,8:00,3823,3760,94,4041
