時刻,断面交通量
2017-01-01,13166
2017-01-02,15311
2017-01-03,15889
2017-01-04,16567
2017-01-05,18980
2017-01-06,20631
2017-01-07,18433
2017-01-08,15486
2017-01-09,15506
2017-01-10,19468
2017-01-11,19648
2017-01-12,19768
2017-01-13,20549
2017-01-14,19021
2017-01-15,16621
2017-01-16,18845
2017-01-17,19194
2017-01-18,19332
2017-01-19,19370
2017-01-20,20569
2017-01-21,18703
2017-01-22,16597
2017-01-23,18903
2017-01-24,19416
2017-01-25,19857
2017-01-26,19626
2017-01-27,20548
2017-01-28,18540
2017-01-29,16577
2017-01-30,18698
2017-01-31,18907
2017-02-01,19111
2017-02-02,19498
2017-02-03,20572
2017-02-04,18823
2017-02-05,16002
2017-02-06,18645
2017-02-07,19060
2017-02-08,19501
2017-02-09,19458
2017-02-10,21211
2017-02-11,18610
2017-02-12,16214
2017-02-13,18825
2017-02-14,19259
2017-02-15,19995
2017-02-16,19861
2017-02-17,21027
2017-02-18,18715
2017-02-19,16634
2017-02-20,19218
2017-02-21,19524
2017-02-22,20024
2017-02-23,19904
2017-02-24,21204
2017-02-25,19338
2017-02-26,16839
2017-02-27,19580
2017-02-28,19643
2017-03-01,19668
2017-03-02,20019
2017-03-03,20743
2017-03-04,19162
2017-03-05,16599
2017-03-06,19200
2017-03-07,19316
2017-03-08,20006
2017-03-09,20349
2017-03-10,20987
2017-03-11,19139
2017-03-12,16748
2017-03-13,19224
2017-03-14,19724
2017-03-15,20390
2017-03-16,20311
2017-03-17,21077
2017-03-18,19659
2017-03-19,17977
2017-03-20,16885
2017-03-21,19708
2017-03-22,20140
2017-03-23,20296
2017-03-24,20847
2017-03-25,19342
2017-03-26,16421
2017-03-27,19647
2017-03-28,19616
2017-03-29,20196
2017-03-30,20486
2017-03-31,20369
2017-04-01,18583
2017-04-02,16527
2017-04-03,18806
2017-04-04,18951
2017-04-05,19318
2017-04-06,19506
2017-04-07,19638
2017-04-08,18372
2017-04-09,15946
2017-04-10,18794
2017-04-11,18917
2017-04-12,19535
2017-04-13,19572
2017-04-14,20243
2017-04-15,19087
2017-04-16,16399
2017-04-17,18812
2017-04-18,19255
2017-04-19,19441
2017-04-20,19774
2017-04-21,20353
2017-04-22,18436
2017-04-23,16218
2017-04-24,18947
2017-04-25,19651
2017-04-26,19862
2017-04-27,19949
2017-04-28,21017
2017-04-29,17912
2017-04-30,16107
2017-05-01,18800
2017-05-02,19454
2017-05-03,16894
2017-05-04,16262
2017-05-05,16249
2017-05-06,17098
2017-05-07,15170
2017-05-08,18844
2017-05-09,19009
2017-05-10,19693
2017-05-11,19904
2017-05-12,20652
2017-05-13,19098
2017-05-14,16748
2017-05-15,19060
2017-05-16,19027
2017-05-17,19054
2017-05-18,19805
2017-05-19,20290
2017-05-20,18597
2017-05-21,16262
2017-05-22,18673
2017-05-23,19316
2017-05-24,19263
2017-05-25,20386
2017-05-26,21337
2017-05-27,19052
2017-05-28,16805
2017-05-29,19270
2017-05-30,19391
2017-05-31,19510
2017-06-01,19788
2017-06-02,20532
2017-06-03,18689
2017-06-04,16385
2017-06-05,19263
2017-06-06,18992
2017-06-07,19429
2017-06-08,19958
2017-06-09,20646
2017-06-10,18748
2017-06-11,16601
2017-06-12,18713
2017-06-13,18945
2017-06-14,19590
2017-06-15,19919
2017-06-16,20598
2017-06-17,19189
2017-06-18,16835
2017-06-19,19236
2017-06-20,19214
2017-06-21,19379
2017-06-22,20004
2017-06-23,21240
2017-06-24,19868
2017-06-25,17226
2017-06-26,18960
2017-06-27,19692
2017-06-28,20029
2017-06-29,20368
2017-06-30,20271
2017-07-01,18755
2017-07-02,16987
2017-07-03,19202
2017-07-04,19138
2017-07-05,19816
2017-07-06,20307
2017-07-07,21208
2017-07-08,20018
2017-07-09,17325
2017-07-10,19453
2017-07-11,19501
2017-07-12,19958
2017-07-13,20338
2017-07-14,17988
2017-07-15,20107
2017-07-16,17608
2017-07-17,16644
2017-07-18,19781
2017-07-19,19818
2017-07-20,20391
2017-07-21,21288
2017-07-22,19208
2017-07-23,16636
2017-07-24,19685
2017-07-25,20361
2017-07-26,20620
2017-07-27,20614
2017-07-28,21290
2017-07-29,19592
2017-07-30,16511
2017-07-31,19544
2017-08-01,20124
2017-08-02,19953
2017-08-03,20249
2017-08-04,20710
2017-08-05,18711
2017-08-06,17070
2017-08-07,18797
2017-08-08,19829
2017-08-09,20324
2017-08-10,20654
2017-08-11,17117
2017-08-12,16711
2017-08-13,15360
2017-08-14,16149
2017-08-15,16279
2017-08-16,17225
2017-08-17,18889
2017-08-18,20139
2017-08-19,17911
2017-08-20,15879
2017-08-21,19323
2017-08-22,19714
2017-08-23,19695
2017-08-24,20183
2017-08-25,21061
2017-08-26,18673
2017-08-27,16300
2017-08-28,19401
2017-08-29,20116
2017-08-30,19432
2017-08-31,19396
2017-09-01,20034
2017-09-02,18850
2017-09-03,16165
2017-09-04,18829
2017-09-05,18988
2017-09-06,19682
2017-09-07,19830
2017-09-08,20534
2017-09-09,18992
2017-09-10,16376
2017-09-11,18838
2017-09-12,19281
2017-09-13,19630
2017-09-14,19814
2017-09-15,21054
2017-09-16,18794
2017-09-17,15446
2017-09-18,16557
2017-09-19,19322
2017-09-20,19404
2017-09-21,20099
2017-09-22,20946
2017-09-23,18784
2017-09-24,16367
2017-09-25,19692
2017-09-26,20169
2017-09-27,19835
2017-09-28,20401
2017-09-29,20926
2017-09-30,19611
2017-10-01,16447
2017-10-02,19318
2017-10-03,18750
2017-10-04,19461
2017-10-05,19906
2017-10-06,20744
2017-10-07,18971
2017-10-08,16888
2017-10-09,15551
2017-10-10,18670
2017-10-11,19297
2017-10-12,19465
2017-10-13,20632
2017-10-14,18395
2017-10-15,15844
2017-10-16,17150
2017-10-17,19342
2017-10-18,19501
2017-10-19,19618
2017-10-20,20679
2017-10-21,18450
2017-10-22,13719
2017-10-23,18512
2017-10-24,17013
2017-10-25,20113
2017-10-26,20134
2017-10-27,20642
2017-10-28,19102
2017-10-29,14125
2017-10-30,18928
2017-10-31,19478
2017-11-01,19149
2017-11-02,20122
2017-11-03,17450
2017-11-04,17933
2017-11-05,16174
2017-11-06,18986
2017-11-07,18965
2017-11-08,19748
2017-11-09,19851
2017-11-10,20320
2017-11-11,18364
2017-11-12,15948
2017-11-13,18429
2017-11-14,18927
2017-11-15,19522
2017-11-16,19653
2017-11-17,20595
2017-11-18,18770
2017-11-19,16370
2017-11-20,18944
2017-11-21,18944
2017-11-22,20061
2017-11-23,16854
2017-11-24,20680
2017-11-25,18855
2017-11-26,15899
2017-11-27,19517
2017-11-28,20894
2017-11-29,20507
2017-11-30,20498
2017-12-01,20550
2017-12-02,18633
2017-12-03,16090
2017-12-04,18987
2017-12-05,19323
2017-12-06,19738
2017-12-07,19795
2017-12-08,21166
2017-12-09,19667
2017-12-10,17225
2017-12-11,19170
2017-12-12,19827
2017-12-13,20163
2017-12-14,20365
2017-12-15,21200
2017-12-16,19901
2017-12-17,17679
2017-12-18,19788
2017-12-19,20022
2017-12-20,20642
2017-12-21,21040
2017-12-22,22250
2017-12-23,19131
2017-12-24,16621
2017-12-25,20333
2017-12-26,20667
2017-12-27,20701
2017-12-28,20142
2017-12-29,17316
2017-12-30,15731
2017-12-31,12507
2018-01-01,13057
2018-01-02,14836
2018-01-03,15658
2018-01-04,16525
2018-01-05,19574
2018-01-06,17681
2018-01-07,15928
2018-01-08,14668
2018-01-09,19493
2018-01-10,19219
2018-01-11,19637
2018-01-12,20512
2018-01-13,18356
2018-01-14,15915
2018-01-15,18415
2018-01-16,18677
2018-01-17,18637
2018-01-18,19252
2018-01-19,19973
2018-01-20,18651
2018-01-21,16022
2018-01-22,18313
2018-01-23,18768
2018-01-24,19513
2018-01-25,20907
2018-01-26,20474
2018-01-27,18909
2018-01-28,16078
2018-01-29,18670
2018-01-30,18992
2018-01-31,19419
2018-02-01,18888
2018-02-02,20691
2018-02-03,18328
2018-02-04,16445
2018-02-05,18786
2018-02-06,18953
2018-02-07,19476
2018-02-08,19691
2018-02-09,20676
2018-02-10,18115
2018-02-11,16465
2018-02-12,15528
2018-02-13,17144
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,1773
2018-02-23,20353
2018-02-24,18501
2018-02-25,16016
2018-02-26,18866
2018-02-27,19283
2018-02-28,19513
2018-03-01,19454
2018-03-02,20098
2018-03-03,18625
2018-03-04,15970
2018-03-05,18895
2018-03-06,18947
2018-03-07,19686
2018-03-08,19407
2018-03-09,20639
2018-03-10,18421
2018-03-11,16185
2018-03-12,19244
2018-03-13,19166
2018-03-14,19465
2018-03-15,20105
2018-03-16,20536
2018-03-17,19320
2018-03-18,17150
2018-03-19,19264
2018-03-20,19912
2018-03-21,16801
2018-03-22,20145
2018-03-23,20848
2018-03-24,18803
2018-03-25,16711
2018-03-26,19310
2018-03-27,19538
2018-03-28,19659
2018-03-29,19960
2018-03-30,20209
2018-03-31,18129
2018-04-01,16181
2018-04-02,18375
2018-04-03,18426
2018-04-04,18966
2018-04-05,18968
2018-04-06,19330
2018-04-07,18294
2018-04-08,15892
2018-04-09,18051
2018-04-10,18423
2018-04-11,18860
2018-04-12,19098
2018-04-13,19979
2018-04-14,18699
2018-04-15,16202
2018-04-16,18538
2018-04-17,18894
2018-04-18,19164
2018-04-19,19301
2018-04-20,20226
2018-04-21,18368
2018-04-22,16419
2018-04-23,18346
2018-04-24,18874
2018-04-25,19952
2018-04-26,20107
2018-04-27,20979
2018-04-28,18498
2018-04-29,16646
2018-04-30,15619
2018-05-01,18547
2018-05-02,18834
2018-05-03,15923
2018-05-04,15875
2018-05-05,15850
2018-05-06,14657
2018-05-07,18413
2018-05-08,18867
2018-05-09,19012
2018-05-10,19318
2018-05-11,20131
2018-05-12,18655
2018-05-13,15563
2018-05-14,18165
2018-05-15,18830
2018-05-16,19223
2018-05-17,19513
2018-05-18,19968
2018-05-19,18710
2018-05-20,16238
2018-05-21,18313
2018-05-22,18889
2018-05-23,19081
2018-05-24,19324
2018-05-25,20198
2018-05-26,17893
2018-05-27,16256
2018-05-28,18797
2018-05-29,18902
2018-05-30,19116
2018-05-31,19650
2018-06-01,19724
2018-06-02,17934
2018-06-03,16000
2018-06-04,18556
2018-06-05,19015
2018-06-06,19282
2018-06-07,19402
2018-06-08,20272
2018-06-09,18821
2018-06-10,15324
2018-06-11,18677
2018-06-12,18493
2018-06-13,19005
2018-06-14,19545
2018-06-15,20497
2018-06-16,18942
2018-06-17,16555
2018-06-18,18674
2018-06-19,18764
2018-06-20,19342
2018-06-21,19697
2018-06-22,20527
2018-06-23,18641
2018-06-24,16465
2018-06-25,18906
2018-06-26,19353
2018-06-27,19479
2018-06-28,20008
2018-06-29,20706
2018-06-30,19561
2018-07-01,16458
2018-07-02,18980
2018-07-03,18753
2018-07-04,19281
2018-07-05,20015
2018-07-06,20261
2018-07-07,19911
2018-07-08,17201
2018-07-09,19281
2018-07-10,19325
2018-07-11,19812
2018-07-12,19978
2018-07-13,20864
2018-07-14,19414
2018-07-15,17550
2018-07-16,16082
2018-07-17,19364
2018-07-18,19509
2018-07-19,20794
2018-07-20,21017
2018-07-21,19267
2018-07-22,16548
2018-07-23,18966
2018-07-24,19680
2018-07-25,20353
2018-07-26,20274
2018-07-27,20764
2018-07-28,16446
2018-07-29,16170
2018-07-30,19418
2018-07-31,19955
2018-08-01,19695
2018-08-02,19805
2018-08-03,20679
2018-08-04,18629
2018-08-05,16613
2018-08-06,18965
2018-08-07,19336
2018-08-08,19835
2018-08-09,19755
2018-08-10,20694
2018-08-11,16944
2018-08-12,15934
2018-08-13,16113
2018-08-14,15881
2018-08-15,16175
2018-08-16,17503
2018-08-17,18763
2018-08-18,17416
2018-08-19,15351
2018-08-20,18804
2018-08-21,19302
2018-08-22,19541
2018-08-23,19283
2018-08-24,19839
2018-08-25,18760
2018-08-26,16238
2018-08-27,18628
2018-08-28,19047
2018-08-29,19126
2018-08-30,19362
2018-08-31,19970
2018-09-01,18280
2018-09-02,16331
2018-09-03,18887
2018-09-04,15935
2018-09-05,19084
2018-09-06,19318
2018-09-07,21857
2018-09-08,19809
2018-09-09,16805
2018-09-10,19307
2018-09-11,19276
2018-09-12,19445
2018-09-13,19915
2018-09-14,21076
2018-09-15,19455
2018-09-16,17571
2018-09-17,16388
2018-09-18,19000
2018-09-19,19644
2018-09-20,20193
2018-09-21,20998
2018-09-22,19584
2018-09-23,17698
2018-09-24,16825
2018-09-25,19629
2018-09-26,20109
2018-09-27,19901
2018-09-28,21044
2018-09-29,18827
2018-09-30,13135
2018-10-01,19935
2018-10-02,19067
2018-10-03,19137
2018-10-04,19615
2018-10-05,20219
2018-10-06,18766
2018-10-07,17530
2018-10-08,16413
2018-10-09,15453
2018-10-10,19462
2018-10-11,19286
2018-10-12,20067
2018-10-13,18060
2018-10-14,16479
2018-10-15,18899
2018-10-16,18719
2018-10-17,18880
2018-10-18,19205
2018-10-19,19892
2018-10-20,18841
2018-10-21,16989
2018-10-22,18527
2018-10-23,18942
2018-10-24,19083
2018-10-25,19292
2018-10-26,20129
2018-10-27,18756
2018-10-28,16886
2018-10-29,18566
2018-10-30,19130
2018-10-31,19114
2018-11-01,19238
2018-11-02,20038
2018-11-03,18691
2018-11-04,17275
2018-11-05,18860
2018-11-06,18597
2018-11-07,18672
2018-11-08,19271
2018-11-09,19511
2018-11-10,18312
2018-11-11,16587
2018-11-12,18966
2018-11-13,19308
2018-11-14,19606
2018-11-15,20156
2018-11-16,20587
2018-11-17,18875
2018-11-18,16436
2018-11-19,18900
2018-11-20,19523
2018-11-21,20206
2018-11-22,21122
2018-11-23,17959
2018-11-24,18249
2018-11-25,14737
2018-11-26,18573
2018-11-27,19176
2018-11-28,18237
2018-11-29,18924
2018-11-30,20165
2018-12-01,18963
2018-12-02,15914
2018-12-03,18782
2018-12-04,18876
2018-12-05,19214
2018-12-06,19774
2018-12-07,20296
2018-12-08,19051
2018-12-09,16962
2018-12-10,19088
2018-12-11,19503
2018-12-12,19909
2018-12-13,19792
2018-12-14,20563
2018-12-15,20019
2018-12-16,18330
2018-12-17,19602
2018-12-18,19470
2018-12-19,20177
2018-12-20,20543
2018-12-21,21561
2018-12-22,19439
2018-12-23,17120
2018-12-24,16143
2018-12-25,20137
2018-12-26,20116
2018-12-27,20272
2018-12-28,19639
2018-12-29,16976
2018-12-30,15449
2018-12-31,12780
